"","Date_received","Coupon_sent","Coupon_used","ratio","Coupon_no"
"90",2016-03-30,2715,172,0.0633517495395948,2543
"91",2016-03-31,2850,180,0.0631578947368421,2670
"92",2016-04-01,3883,179,0.0460983775431367,3704
"93",2016-04-02,3380,136,0.0402366863905325,3244
"94",2016-04-03,3210,115,0.0358255451713396,3095
"95",2016-04-04,3450,116,0.0336231884057971,3334
"96",2016-04-05,3656,119,0.0325492341356674,3537
"97",2016-04-06,3245,105,0.0323574730354391,3140
"98",2016-04-07,4848,161,0.0332095709570957,4687
"99",2016-04-08,3766,173,0.0459373340414233,3593
"100",2016-04-09,3557,155,0.0435760472308125,3402
"101",2016-04-10,3861,147,0.0380730380730381,3714
"102",2016-04-11,3620,133,0.0367403314917127,3487
"103",2016-04-12,4366,167,0.038250114521301,4199
"104",2016-04-13,3952,167,0.0422570850202429,3785
"105",2016-04-14,4724,292,0.0618120237087214,4432
"106",2016-04-15,5360,232,0.0432835820895522,5128
"107",2016-04-16,5400,218,0.0403703703703704,5182
"108",2016-04-17,4348,170,0.0390984360625575,4178
"109",2016-04-18,4902,260,0.0530395756833945,4642
"110",2016-04-19,4424,195,0.0440777576853526,4229
"111",2016-04-20,4651,214,0.0460116104063642,4437
"112",2016-04-21,5035,412,0.0818272095332671,4623
"113",2016-04-22,7381,361,0.0489093618750847,7020
"114",2016-04-23,4730,306,0.0646934460887949,4424
"115",2016-04-24,6490,336,0.0517719568567026,6154
"116",2016-04-25,4965,313,0.0630412890231621,4652
"117",2016-04-26,4579,301,0.0657348766106137,4278
"118",2016-04-27,5565,318,0.0571428571428571,5247
"119",2016-04-28,6104,464,0.0760157273918742,5640
"120",2016-04-29,5634,395,0.0701100461483848,5239
"121",2016-04-30,5008,336,0.0670926517571885,4672
"122",2016-05-01,3121,258,0.0826658122396668,2863
"123",2016-05-02,3276,268,0.0818070818070818,3008
"124",2016-05-03,1885,312,0.16551724137931,1573
"125",2016-05-04,2154,322,0.149489322191272,1832
"126",2016-05-05,3371,462,0.137051320083061,2909
"127",2016-05-06,2667,380,0.142482189726284,2287
"128",2016-05-07,2731,333,0.121933357744416,2398
"129",2016-05-08,3746,357,0.095301655098772,3389
"130",2016-05-09,3919,379,0.0967083439652973,3540
"131",2016-05-10,2887,417,0.14444059577416,2470
"132",2016-05-11,4215,482,0.11435349940688,3733
"133",2016-05-12,3710,665,0.179245283018868,3045
"134",2016-05-13,4788,677,0.141395154553049,4111
"135",2016-05-14,5397,623,0.115434500648508,4774
"136",2016-05-15,5860,505,0.0861774744027304,5355
"137",2016-05-16,5092,664,0.130400628436764,4428
"138",2016-05-17,7797,713,0.0914454277286136,7084
"139",2016-05-18,9440,759,0.0804025423728814,8681
"140",2016-05-19,10215,845,0.0827214880078316,9370
"141",2016-05-20,14796,2353,0.159029467423628,12443
"142",2016-05-21,19859,2239,0.112744851200967,17620
"143",2016-05-22,13299,2048,0.153996541093315,11251
"144",2016-05-23,11008,1884,0.171148255813953,9124
"145",2016-05-24,10998,1876,0.170576468448809,9122
"146",2016-05-25,13576,1871,0.137816735415439,11705
"147",2016-05-26,8285,664,0.08014484007242,7621
"148",2016-05-27,6721,537,0.0798988245796756,6184
"149",2016-05-28,13276,524,0.039469719795119,12752
"150",2016-05-29,5720,538,0.0940559440559441,5182
"151",2016-05-30,5076,483,0.0951536643026005,4593
"152",2016-05-31,6463,478,0.0739594615503636,5985
"153",2016-06-01,7443,706,0.0948542254467285,6737
"154",2016-06-02,9149,802,0.0876598535359056,8347
"155",2016-06-03,7664,660,0.0861169102296451,7004
"156",2016-06-04,5602,529,0.0944305605141021,5073
"157",2016-06-05,5624,458,0.0814366998577525,5166
"158",2016-06-06,6519,586,0.0898910875901212,5933
"159",2016-06-07,5487,500,0.0911244760342628,4987
"160",2016-06-08,6146,559,0.0909534656687276,5587
"161",2016-06-09,6315,468,0.0741092636579572,5847
"162",2016-06-10,5709,393,0.068838675775092,5316
"163",2016-06-11,5211,351,0.0673575129533679,4860
"164",2016-06-12,4005,330,0.0823970037453183,3675
"165",2016-06-13,7861,439,0.0558453123012339,7422
"166",2016-06-14,4755,394,0.0828601472134595,4361
"167",2016-06-15,3475,355,0.102158273381295,3120
