"","Date","Coupon_used","Coupon_no","ratio","total"
"106",2016-04-15,176,4332,0.0390417036379769,4508
"107",2016-04-16,201,4108,0.0466465537247621,4309
"108",2016-04-17,196,4250,0.0440845704003599,4446
"109",2016-04-18,171,4117,0.0398787313432836,4288
"110",2016-04-19,181,3909,0.0442542787286064,4090
"111",2016-04-20,173,3688,0.0448070448070448,3861
"112",2016-04-21,199,4688,0.0407202782893391,4887
"113",2016-04-22,262,4646,0.0533822330888346,4908
"114",2016-04-23,259,4511,0.0542976939203354,4770
"115",2016-04-24,275,4480,0.0578338590956887,4755
"116",2016-04-25,242,4228,0.0541387024608501,4470
"117",2016-04-26,260,4011,0.0608756731444627,4271
"118",2016-04-27,286,4388,0.0611895592640137,4674
"119",2016-04-28,319,5403,0.0557497378538972,5722
"120",2016-04-29,361,5059,0.0666051660516605,5420
"121",2016-04-30,327,4596,0.0664229128580134,4923
"122",2016-05-01,283,4060,0.065162330186507,4343
"123",2016-05-02,251,3658,0.0642107955998977,3909
"124",2016-05-03,265,4163,0.0598464317976513,4428
"125",2016-05-04,323,4065,0.0736098450319052,4388
"126",2016-05-05,310,4694,0.0619504396482814,5004
"127",2016-05-06,341,4751,0.066967792615868,5092
"128",2016-05-07,328,4616,0.0663430420711974,4944
"129",2016-05-08,348,4600,0.0703314470493129,4948
"130",2016-05-09,306,3927,0.072289156626506,4233
"131",2016-05-10,339,4389,0.0717005076142132,4728
"132",2016-05-11,331,4598,0.0671535808480422,4929
"133",2016-05-12,362,5105,0.0662154746661789,5467
"134",2016-05-13,383,5684,0.0631283995384869,6067
"135",2016-05-14,385,6093,0.0594319234331584,6478
"136",2016-05-15,378,5262,0.0670212765957447,5640
"137",2016-05-16,437,5264,0.0766532187335555,5701
"138",2016-05-17,466,5049,0.0844968268359021,5515
"139",2016-05-18,510,5222,0.0889741800418702,5732
"140",2016-05-19,577,5407,0.0964237967914438,5984
"141",2016-05-20,709,8763,0.0748521959459459,9472
"142",2016-05-21,864,9019,0.0874228473135688,9883
"143",2016-05-22,1068,8645,0.109955729434778,9713
"144",2016-05-23,1060,6571,0.138907089503342,7631
"145",2016-05-24,1206,6614,0.154219948849105,7820
"146",2016-05-25,1349,6482,0.172264078661729,7831
"147",2016-05-26,1323,4626,0.222390317700454,5949
"148",2016-05-27,1401,4859,0.223801916932907,6260
"149",2016-05-28,1253,4950,0.2019990327261,6203
"150",2016-05-29,1285,4919,0.20712443584784,6204
"151",2016-05-30,1169,4388,0.210365305020695,5557
"152",2016-05-31,1028,4353,0.191042557145512,5381
"153",2016-06-01,1046,4821,0.17828532469746,5867
"154",2016-06-02,963,4711,0.169721536834685,5674
"155",2016-06-03,796,4685,0.14522897281518,5481
"156",2016-06-04,826,4941,0.143228715103173,5767
"157",2016-06-05,632,4963,0.11295799821269,5595
"158",2016-06-06,657,4474,0.12804521535763,5131
"159",2016-06-07,610,4445,0.120672601384768,5055
"160",2016-06-08,727,4756,0.132591646908627,5483
"161",2016-06-09,642,4917,0.11548839719374,5559
"162",2016-06-10,548,4109,0.117672321236848,4657
"163",2016-06-11,507,4003,0.112416851441242,4510
"164",2016-06-12,523,4000,0.115631218217997,4523
"165",2016-06-13,596,4301,0.121707167653666,4897
"166",2016-06-14,554,4252,0.115272575946733,4806
"167",2016-06-15,620,4331,0.125227226822864,4951
"168",2016-06-16,537,3571,0.130720545277507,4108
"169",2016-06-17,473,3707,0.113157894736842,4180
"170",2016-06-18,440,3505,0.111533586818758,3945
"171",2016-06-19,348,3349,0.0941303759805247,3697
"172",2016-06-20,310,3677,0.0777526962628543,3987
"173",2016-06-21,242,3671,0.0618451316125735,3913
"174",2016-06-22,247,3686,0.0628019323671498,3933
"175",2016-06-23,243,3889,0.0588092933204259,4132
"176",2016-06-24,267,4116,0.0609171800136893,4383
"177",2016-06-25,235,4183,0.0531914893617021,4418
"178",2016-06-26,199,3637,0.0518769551616267,3836
"179",2016-06-27,142,3640,0.0375462718138551,3782
"180",2016-06-28,160,3485,0.0438957475994513,3645
"181",2016-06-29,127,3605,0.0340300107181136,3732
"182",2016-06-30,129,3603,0.0345659163987138,3732
